,State,Electoral_Votes,Winner,Total_Vote_Count,Trump_Vote_Count,Biden_Vote_Count,Trump_Vote_Percent,Biden_Vote_Percent
43,Utah,6,Trump,1228754,828908,348301,67.459,28.346
44,Vermont,3,Biden,314008,109043,190849,34.726,60.778
45,Virginia,13,Biden,3587978,1704974,1742587,47.519,48.567
46,Washington,12,Biden,3310456,1330214,1847488,40.182,55.808
47,West Virginia,4,Trump,701223,490221,181532,69.909,25.888
48,Wisconsin,10,Biden,2578190,1213987,1268682,47.087,49.208
49,Wyoming,3,Trump,219396,176210,33993,80.316,15.494
50,District of Columbia,3,Biden,400142,27191,358997,6.795,89.717
0,Alabama,9,Trump,1997951,1155551,769201,57.837,38.499
1,Alaska,3,Trump,298200,161753,125391,54.243,42.049
2,Arizona,11,Trump,2846048,1418217,1318432,49.831,46.325
3,Arkansas,6,Trump,1087619,744345,297326,68.438,27.337
4,California,54,Biden,13621386,4493405,8581463,32.988,63.0
5,Colorado,10,Biden,2528356,1051636,1377649,41.594,54.488
6,Connecticut,7,Biden,1421467,600860,765376,42.27,53.844
7,Delaware,3,Biden,462302,189244,253812,40.935,54.902
8,Florida,30,Trump,7812587,3980073,3539041,50.944,45.299
9,Georgia,16,Trump,4217578,2179910,1863539,51.686,44.185
10,Hawaii,4,Biden,520528,194366,307278,37.34,59.032
11,Idaho,4,Trump,733515,484942,216484,66.112,29.513
12,Illinois,19,Biden,4885272,2005089,2661925,41.044,54.489
13,Indiana,11,Trump,2607534,1555515,950749,59.655,36.462
14,Iowa,6,Trump,1385034,811214,515409,58.57,37.213
15,Kansas,6,Trump,1268750,733164,479758,57.786,37.813
16,Kentucky,8,Trump,1856324,1220883,556706,65.769,29.99
17,Louisiana,8,Trump,1772108,983460,720766,55.497,40.673
18,Maine,4,Biden,684197,327404,327838,47.852,47.916
19,Maryland,10,Biden,2638724,839930,1692501,31.831,64.141
20,Massachusetts,11,Biden,2894487,890293,1878282,30.758,64.892
21,Michigan,15,Biden,4637372,2199989,2255183,47.44,48.631
22,Minnesota,10,Biden,2603557,1206822,1294871,46.353,49.735
23,Mississippi,6,Trump,1256712,708989,496672,56.416,39.522
24,Missouri,10,Trump,2824594,1547268,1171982,54.778,41.492
25,Montana,4,Trump,490138,296683,173647,60.531,35.428
26,Nebraska,5,Trump,745901,431047,282047,57.789,37.813
27,Nevada,6,Trump,1147880,577587,525752,50.318,45.802
28,New Hampshire,4,Biden,643112,296859,320341,46.16,49.811
29,New Jersey,14,Biden,3520654,1685372,1685413,47.871,47.872
